po,material,qty
1300014660-10,N/A,1.0
1300014701-10,N/A,2.0
1300014683-10,N/A,3.0
1400092218-10,N/A,1.0
1700000188-10,N/A,1.0
1300014709-70,N/A,1.0
1300014709-100,N/A,1.0
1300014709-90,N/A,1.0
1300014709-20,N/A,1.0
1300014709-60,N/A,1.0
1300014709-10,N/A,1.0
1300014709-30,N/A,1.0
1300014709-80,N/A,1.0
1300014709-50,N/A,1.0
1300014709-40,N/A,1.0
1300014659-10,N/A,3.0
1400092242-10,N/A,1.0
1400092254-10,N/A,1.0
1300014695-10,N/A,2.0
1300014695-30,N/A,1.0
1300014695-40,N/A,20.0
1300014695-20,N/A,30.0
1300014693-10,N/A,50.0
1300014693-20,N/A,50.0
1400091997-10,N/A,3.0
1400092106-10,N/A,1.0
1400092216-10,N/A,4.0
1400092217-10,N/A,1.0
1400092004-10,N/A,1.0
1400092109-10,N/A,1.0
1400092222-60,N/A,1.0
1400092222-80,N/A,1.0
1400092222-70,N/A,1.0
1400092222-10,N/A,1.0
1400092222-20,N/A,1.0
1400092222-50,N/A,1.0
1400092222-40,N/A,1.0
1400092222-30,N/A,1.0
1300014685-10,N/A,1.0
1600001580-10,N/A,1.0
1600001574-10,N/A,1.0
1400092093-10,N/A,1.0
1400092120-10,N/A,1.0
1400092173-10,N/A,1.0
1400092126-10,N/A,1.0
1600001581-10,N/A,1.0
1400092172-10,N/A,1.0
1400091947-10,N/A,1.0
1400092174-10,N/A,1.0
1400092191-10,N/A,1.0
1400092192-10,N/A,1.0
1400091948-10,N/A,1.0
1400092193-10,N/A,1.0
1300014711-10,N/A,1.0
1300014711-20,N/A,1.0
1300014704-10,N/A,77.0
1100095171-10,111400002500,540.0
1100095289-10,303900018301,20.0
1100095401-20,303900018301,15.0
1100095222-30,303900027201,20.0
1100095401-10,303900027201,15.0
1100095222-60,303900036101,6.0
1100095222-100,303900036401,6.0
1100095222-150,303900037901,6.0
1100095110-10,321400028600,1.0
1100095098-10,3215000112A0,2.0
1100095064-10,3215000112A0,2.0
1100095098-20,3215000130A0,2.0
1100095053-10,405100001000,1.0
1100095053-20,411900021300004,1.0
1100095091-10,411900021300004,1.0
1100095355-10,430300007000,1.0
1100095355-60,430300007000,4.0
1100095355-40,430300020300,1.0
1100095251-50,430300033800,1.0
1100095246-90,430300033800,1.0
1100095252-40,430300033800,1.0
1100095253-40,430300033800,1.0
1100095244-60,430300033800,1.0
1100095245-30,430300084700,2.0
1100095254-70,430300085600,1.0
1100095251-20,430300087400,2.0
1100095246-50,430300087400,2.0
1100095251-30,430300099000,1.0
1100095355-70,430300102200,1.0
1100095246-40,430300116600,2.0
1100095251-10,430300116600,2.0
1100095251-70,430300124600,1.0
1100095254-40,430300124600,1.0
1100095244-20,430300124600,1.0
1100095246-10,430300126400,1.0
1100095355-50,430300126400,1.0
1100095355-80,430300127300,3.0
1100095254-10,430300127300,1.0
1100095245-10,430300129100,1.0
1100095246-110,430300129100,1.0
1100095249-40,430300129100,1.0
1100095251-80,430300129100,1.0
1100095252-30,430300129100,1.0
1100095253-30,430300129100,1.0
1100095244-30,430300129100,1.0
1100095355-130,430300132600,1.0
1100095355-200,430300137100,1.0
1100095355-230,430300138000,1.0
1100095246-60,430300139900,1.0
1100095253-60,430300141500,1.0
1100095254-50,430300141500,2.0
1100095252-60,430300141500,1.0
1100095245-20,430300143300,1.0
1100095244-40,430300143300,1.0
1100095254-30,430300143300,1.0
1100095253-20,430300143300,1.0
1100095252-20,430300143300,1.0
1100095249-20,430300143300,1.0
1100095246-20,430300156800,1.0
1100095355-20,430300161100,1.0
1100095355-210,430300182600,1.0
1100095355-140,430300232300,1.0
1100095253-70,430300238700,1.0
1100095252-70,430300238700,1.0
1100095246-80,430300238700,1.0
1100095431-10,430300240300,2.0
1100095254-60,430300240300,2.0
1100095245-50,430300249400,1.0
1100095246-100,430300249400,1.0
1100095251-60,430300249400,1.0
1100095252-50,430300249400,1.0
1100095253-50,430300249400,1.0
1100095244-70,430300249400,1.0
1100095249-30,430300255000,2.0
1100095355-90,430300255000,1.0
1100095252-10,430300255000,2.0
1100095253-10,430300255000,2.0
1100095244-50,430300255000,2.0
1100095355-150,430300255600,1.0
1100095355-240,430300255600,1.0
1100095355-100,430300255800,1.0
1100095355-160,430300255800,1.0
1100095245-40,430300257600,1.0
1100095246-70,430300258900,1.0
1100095355-110,430300260200,1.0
1100095251-40,430300265400,1.0
1100095355-30,430300265600,1.0
1100095355-120,430300269400,2.0
1100095254-20,430300277700,1.0
1100095355-170,430300278200,1.0
1100095431-20,430300284500,1.0
1100095355-220,430300293200,1.0
1100095355-180,430300293600,1.0
1100095355-250,430300293700,1.0
1100095355-260,430300305000,2.0
1100095249-10,430300316500,1.0
1100095355-190,430300317200,1.0
1100095246-30,430300325201,1.0
1100095407-10,763900008800,4.0
1100095239-10,782000026500,1.0
1100095240-10,782000026700,1.0
1100095239-20,782200023200,1.0
1100095240-20,782200031000,1.0
1100095240-30,782200072701,1.0
1100095239-30,782200073000,1.0
1100095239-40,782200075500,1.0
1100095240-40,782200079900,1.0
1100095239-50,782200080300,1.0
1100095240-50,782200082301,1.0
1100095239-60,782200082700,1.0
1100095239-70,782200114100,1.0
1100095240-60,782200176500,1.0
1100095239-80,782200185100,1.0
1100095240-70,782200185100,1.0
1100095239-90,782200190201,1.0
1100095240-80,782200190201,1.0
1100095240-90,782200195200,1.0
1100095239-100,782200195200,1.0
1100095240-100,782200214000,1.0
1100095240-110,782400006500,1.0
1100095239-110,782400006600,1.0
1100095239-120,782400007000,1.0
1100095240-120,782400007800,1.0
1100095240-130,782400008100,1.0
1100095240-140,782400008100,1.0
1100095239-130,782400008100,1.0
1100095239-140,782400019400,1.0
1100095518-10,782600000200,1.0
1100095240-150,782600000300,1.0
1100095239-150,782600002600,1.0
1100095240-160,782600004800,1.0
1100095239-160,782600004800,1.0
1100095400-10,794300031214,1.0
1100095399-10,794300039710,1.0
1100095399-10,794300039710,1.0
1100095397-10,794400040504,1.0
1100095347-10,794500079604,1.0
1100095528-10,794600065503,2.0
1100095347-20,794600065503,6.0
1100095347-30,794600065704,2.0
1100095528-20,794600065704,1.0
1100095372-10,794600065802,2.0
1100095347-40,794600065802,2.0
1100095372-10,794600065802,2.0
1100095347-50,794600075701,2.0
1100095528-30,794600075701,1.0
1100095347-60,794600078901,4.0
1100095528-40,794600078901,2.0
1100095528-50,794600083503,1.0
1100095348-10,794600083503,2.0
1100095374-10,794600084001,1.0
1100095528-60,794600084001,1.0
1100095348-20,794600084001,2.0
1100095348-30,794600089200,1.0
1100095528-70,794600092100,1.0
1100095348-40,794600092100,1.0
1100095528-80,794600096600,1.0
1100095348-50,794600096600,1.0
1100095528-90,794600104101,1.0
1100095348-60,794600104101,1.0
1100095348-70,794600113600,2.0
1100095348-80,794600113700,1.0
1100095348-90,794600124700,1.0
1100095062-10,8014000425C0,1.0
1100095063-10,8014000430A0,1.0
1100095063-20,8015002891A0,1.0
1100095062-20,8015002891A0,1.0
1100095158-10,8309000691A0,10.0
1100095176-10,8316001114A0,2.0
1100095446-10,891000050102,1.0
1100095381-10,891000060001,1.0
1100095459-10,8912000934A0,1.0
1100095197-10,8915000808B1,200.0
1100095198-10,8915000808B1,200.0
1100095062-30,8917010793A0,2.0
1100095062-50,8917011040A0,1.0
1100095063-30,8917011040A0,1.0
1100095062-40,8917011434B0,1.0
1100095459-20,8917014768A0,1.0
1100095459-30,8917014777A0,1.0
1100094984-10,8919001651A0,1.0
1100095445-10,893400204103,1.0
1100095515-10,893400385800001,1.0
1100095445-20,893400401000,1.0
1100095445-30,893400401400,1.0
1100095446-20,893400449600,1.0
1100095457-10,916000002900,2.0
1100095029-40,925500003900017,4.0
1100095029-50,925500003900023,2.0
1100095026-10,925500009001006,1.0
1100095026-30,925500020501001,1.0
1100095029-10,925500020501020,8.0
1100095029-20,925500020501021,2.0
1100095029-30,925500020501022,2.0
